member_casual,hour,number_of_rides,average_duration
casual,0,36824,22.650549996379173
casual,1,23463,23.38515419099575
casual,2,15717,24.745909217195816
casual,3,8763,27.816973310129715
casual,4,6947,19.45356721606449
casual,5,11110,18.696724489948995
casual,6,25794,16.38606343787961
casual,7,48056,16.50550432065368
casual,8,68235,18.247691281111845
casual,9,68464,23.79361715159305
casual,10,82535,27.396720331576507
casual,11,105315,27.715861951130737
casual,12,123879,26.385353979017157
casual,13,126935,26.511637101797508
casual,14,133649,26.77678528022407
casual,15,148452,24.424690096686696
casual,16,169352,22.94947494134505
casual,17,183797,22.722675253948648
casual,18,157380,22.397851857499894
casual,19,116841,21.953419588300907
casual,20,84004,21.480367308699584
casual,21,71502,21.12081170666555
casual,22,60280,22.02830564338642
casual,23,43678,22.257515528794055
member,0,31307,12.58945334962362
member,1,19081,12.420428893489161
member,2,11473,12.666902447775938
member,3,7472,13.96993222028908
member,4,8577,11.673032078038165
member,5,33640,11.444309020015854
member,6,99242,11.728697198766652
member,7,196502,11.610148740386018
member,8,252445,11.680110272402569
member,9,163498,11.513098441775027
member,10,140560,12.435659855814835
member,11,164693,12.838763769660318
member,12,186437,12.347236248705997
member,13,181566,12.472277001292458
member,14,184314,13.071245382427088
member,15,233104,13.09401858533816
member,16,329014,13.294755681369182
member,17,375529,13.436346200781651
member,18,290072,13.172132034805152
member,19,200079,12.843500102043027
member,20,138477,12.659120525791286
member,21,107952,12.50727702559162
member,22,78635,12.647973032152773
member,23,49050,13.034685178389397
